_id,price
20886,68040.94
117465,137084.36
125220,500739.0
77683,144800.02
77672,254312.25
60719,81576.58
15330,173481.31
31409,260766.36
63045,221678.69
81343,469198.2
2152,142105.17
9788,167366.78
131440,224975.72
127143,239090.77
60964,172047.19
11897,71895.25
28349,114024.38
129800,110047.99
81782,182894.92
3998,104682.21
64497,250271.72
76529,142970.5
51041,218539.69
55378,213703.95
52411,128977.56
122116,159887.14
131,261948.62
135109,90283.4
48013,351577.8
28327,149214.27
58077,158429.17
18876,352866.4
143327,214265.84
125842,192524.62
65781,62864.824
80430,44038.754
132205,234823.39
2416,102432.16
119702,123001.03
1772,242687.95
78641,292851.22
66304,119490.47
4247,239541.78
24308,105246.55
61599,158660.31
118050,47179.133
118277,263315.0
27390,99130.31
29103,161017.75
137207,104512.67
20877,86952.65
128650,310499.94
4179,230841.64
73892,57727.023
43961,172021.39
17915,184665.89
62000,162756.02
130592,245372.27
115347,295813.34
12651,135434.4
137671,264552.16
110726,390716.44
113287,85839.25
62979,157824.03
124783,67497.67
1456,326003.5
79544,90988.42
72577,106181.0
114247,114742.52
43508,52019.59
9338,76035.22
41767,235328.47
1714,91602.31
81526,81422.36
20024,222780.23
76305,194983.19
118710,174870.1
22270,208199.72
144919,143797.89
116429,247944.36
44360,293614.7
124920,120634.43
144566,144485.05
141662,161352.62
118888,233340.02
17739,82904.25
112825,89543.984
33302,262877.84
132955,115434.31
65666,315754.53
135088,232079.83
143170,119860.266
81953,142602.86
31689,121000.16
72768,217243.48
13599,184378.45
40876,158197.6
15794,151093.27
52118,271385.53
79149,35219.66
56808,122890.7
48801,89809.73
9502,270605.28
4846,104379.48
136647,154617.31
43618,105554.64
139136,330663.12
22401,88489.3
52705,157305.81
52220,67097.46
10912,81448.36
24403,345974.88
55494,169542.97
77273,110808.03
26023,349991.22
52481,153216.45
67193,498457.34
20033,180425.88
41597,65793.31
38096,149806.12
39602,209771.6
144617,450250.1
27642,134000.92
70817,265817.47
64049,190110.1
3184,143514.53
82178,181284.0
130494,367738.75
62905,188634.78
18536,120366.92
68781,87422.83
32035,163549.66
75749,111362.54
44580,67525.3
140094,254782.47
45231,188784.47
134569,102696.57
49807,130950.73
8185,132935.88
10900,104987.22
38388,206635.1
38330,94179.234
141479,160539.94
63614,60885.02
70981,351599.3
59302,131555.02
113312,299441.3
83121,167236.8
36,107518.76
2551,86585.51
21698,274440.88
68419,180372.92
147172,181397.53
133464,158124.36
128110,307273.75
124937,143921.2
118294,150012.73
59759,176471.75
80782,124525.28
69674,389453.38
10778,66109.2
27530,116237.805
140123,88291.32
125765,107871.06
12045,155447.53
124968,289722.34
4618,268969.3
46626,209604.48
79683,55838.81
116391,136678.08
120920,343129.2
11351,239401.1
5827,68717.46
62405,191984.0
5257,106286.84
65876,107859.1
111004,144807.58
20962,240799.22
67021,308450.72
37547,87955.95
12672,88840.67
129803,166906.95
125295,292493.2
114069,86503.97
16852,156964.14
4876,111500.49
62617,176407.7
118775,69211.05
136603,114304.516
113712,127521.93
62954,114670.13
40685,169427.5
23616,141046.53
26883,149520.53
114428,104191.36
44796,109625.05
10423,192190.7
120869,326907.8
16473,109725.67
83106,132160.3
25827,113205.055
125938,204153.11
49612,164306.53
20053,167511.23
128485,263068.1
68229,139028.6
135405,183013.47
52394,220758.27
22945,178167.31
131894,103919.42
56024,268824.47
3605,303017.72
123135,111188.02
59270,101220.02
11790,54472.39
135659,98181.58
123498,120182.76
66593,49883.746
139497,84340.37
3972,461609.5
112914,62758.023
113314,140247.78
146922,100599.86
49939,182373.69
146684,89790.68
69182,393408.56
70756,128412.734
30089,118797.49
129662,222053.98
133107,56397.85
125839,95441.88
3871,103351.56
124995,329343.97
61284,70348.74
55551,471625.66
145942,160078.78
111141,224317.19
146056,161135.84
39819,259102.7
1816,54755.586
49659,89547.125
142410,134973.58
15601,584016.5
41743,293232.72
135166,362695.06
124755,163675.3
42254,151306.33
46072,101701.46
48596,428102.3
129111,137238.89
132111,235905.6
4377,128185.69
33656,403571.22
59941,125644.99
140097,101458.85
140407,236382.6
49392,382983.34
4406,236989.58
37707,165747.88
48014,113167.586
126355,168439.67
60569,389597.34
59065,441991.3
18348,181467.05
64703,152558.66
127728,262575.97
13881,73066.24
35544,307037.28
10005,86710.69
75843,110910.79
45168,49763.574
129078,72990.46
52970,108064.42
76277,164605.27
23695,98738.49
64151,210809.58
77515,259270.7
34866,179850.72
5174,210100.66
43098,120048.445
56587,202561.67
127908,75349.14
52093,183344.88
145456,212999.34
24352,377446.4
57277,361149.0
120276,148447.61
121344,149988.72
138042,59138.008
61960,173857.47
126112,233046.25
5009,169954.38
45735,74385.3
61730,113850.53
71377,88678.125
62178,143645.75
3264,333306.72
146589,271081.9
132129,251542.94
142925,113093.18
124202,160483.81
71448,446233.84
80038,250083.66
14301,111976.94
43286,154506.14
139066,213014.23
26551,126048.1
22193,187405.7
39112,186304.95
60097,188314.36
65478,185579.23
2811,156447.3
80108,316093.9
110676,68963.54
76630,140372.67
42917,123404.63
113474,88220.81
10609,204438.4
116277,33522.78
29806,72211.93
59083,196616.77
147151,164135.45
81819,100176.12
144312,147988.72
42967,116530.95
47944,180541.44
140837,77393.555
32837,77956.68
143148,534634.8
41846,137954.42
55854,134093.31
135777,490051.66
115944,110417.96
9170,108495.125
29218,170523.56
10875,74665.484
13908,174227.34
16109,183199.58
16631,142232.8
